Date,Open,High,Low,Close,Volume
2020/1/13,10894,11040.2002,10851.71973,11040.2002,151200
2020/1/14,11074.88965,11086.80957,10983.41992,10988.76953,164700
2020/1/15,10978.28027,11001.80957,10882.79004,10972.32031,139100
2020/1/16,10986.65039,11008.20996,10934.71973,10967.44043,140500
2020/1/17,11001.67969,11045.25,10927.83984,10954.38965,132800
2020/1/20,10981.5,11115.87988,10936.79981,11115.87988,151900
2020/1/21,11077.66016,11078.04004,10948.58008,10953.41016,100
2020/1/22,10896.54981,11105.69043,10761.67969,11072.05957,159200
2020/1/23,10947.86035,11026,10572.26953,10681.90039,1860300
2020/2/3,9779.669922,9779.669922,9779.669922,9779.669922,0
2020/2/4,9578.870117,10095.69043,9578.870117,10089.66992,2393200
2020/2/5,10305.5,10305.5,10305.5,10305.5,0
2020/2/6,10306.12012,10633.16992,10214.80957,10601.33984,2280800
2020/2/7,10569.65039,10629.15039,10441.90039,10611.54981,2161300
2020/2/10,10728.45996,10728.45996,10728.45996,10728.45996,0
2020/2/11,10749.96973,10839.19043,10678.11035,10768.62988,1810500
2020/2/12,10940.79981,10940.79981,10940.79981,10940.79981,0
2020/2/13,10864.32031,10864.32031,10864.32031,10864.32031,0
2020/2/14,10854.45996,11017.65039,10822.12988,10916.30957,1870400
2020/2/17,10974.92969,11241.5,10974.92969,11241.5,2168300
2020/2/18,11306.49023,11306.49023,11306.49023,11306.49023,0
2020/2/19,11300.16016,11387.99023,11229.54981,11235.59961,2339600
2020/2/20,11509.08984,11509.08984,11509.08984,11509.08984,0
2020/2/21,11506.66992,11727.88965,11493.62988,11629.7002,2674700
2020/2/24,11620.62988,11809.75,11548.41016,11772.37988,2774300
2020/2/25,11856.08008,11856.08008,11856.08008,11856.08008,0
2020/2/26,11497.54981,11497.54981,11497.54981,11497.54981,0
2020/2/27,11555.82031,11684.5,11401.32031,11534.01953,2464500
2020/2/28,11150.66016,11338.34961,10962.24023,10980.76953,2800200
2020/3/2,11381.75977,11381.75977,11381.75977,11381.75977,0
2020/3/3,11597.66016,11734.17969,11378.75977,11484.20996,2659900
2020/3/4,11493.01953,11493.01953,11493.01953,11493.01953,0
2020/3/5,11644.41016,11739.83984,11521.29004,11711.37012,2529900
2020/3/6,11555.45996,11690.2002,11541.78027,11582.82031,2136600
2020/3/9,11363.79004,11407.46973,11100.91016,11108.54981,2489100
2020/3/10,11016.91992,11406.29981,10916.9502,11403.46973,2412300
2020/3/11,11436.44043,11444.78027,11197.08984,11200.04981,2046700
2020/3/12,11022.40039,11070.41016,10842.37988,10941.00977,1869800
